spa,importer1,importer2,flow1,flow2
1,"Reason: Substance Abuse","Reason: Job",44.42,54.61
1,"Reason: Substance Abuse","Reason: Eviction",23.26,26.5
1,"Reason: Substance Abuse","History: Physical Abuse",8.19,4.36
1,"Reason: Domestic Violence","Reason: No Family",0.58,0
1,"Reason: Domestic Violence","History: Alcohol Abuse",26.82,29.64
1,"Reason: Breakup","Reason: No Family",2.03,3.91
1,"Reason: Job","Reason: Eviction",20.68,20.88
1,"Reason: Job","History: Physical Illness",47.18,41
1,"Reason: Job","Reason: No Family",0.85,2.55
1,"Reason: Job","History: Physical Abuse",23.59,13.21
1,"Reason: Job","Reason: Death in Family",14.85,18.27
1,"Reason: Job","Reason: Foster Care",4.59,1.1
1,"Reason: Eviction","History: Physical Illness",0.91,2.38
1,"Reason: Eviction","History: Physical Abuse",52.57,94.28
1,"Reason: Eviction","Reason: Foster Care",2.43,8.92
1,"History: Physical Illness","History: Physical Abuse",6.02,4.54
1,"Reason: Jail Prison","Reason: Substance Abuse",22.71,26.88
1,"Reason: Jail Prison","Reason: Eviction",41.78,58.42
1,"Reason: Jail Prison","History: Physical Abuse",9.33,4.11
1,"Reason: Jail Prison","Reason: Foster Care",1.19,2.75
1,"Reason: No Family","Reason: Substance Abuse",0,9.53
1,"Reason: No Family","Reason: Eviction",0.42,2.99
1,"Reason: No Family","History: Physical Illness",0,26.91
1,"Reason: No Family","History: Physical Abuse",2.38,8.98
1,"Reason: No Family","History: Alcohol Abuse",36.79,33.7
1,"History: PTSD","History: Alcohol Abuse",8.52,23.61
1,"History: Physical Abuse","Reason: Breakup",1.3,0.14
1,"History: Physical Abuse","Reason: Foster Care",2.42,2.6
1,"History: Physical Abuse","History: PTSD",6.12,6.6
1,"Reason: Death in Family","Reason: No Family",1.91,1.91
1,"Reason: Death in Family","History: Physical Abuse",0.27,1.2
1,"Reason: Foster Care","Reason: No Family",8.38,2.43
1,"Reason: Unihabitable Housing","History: Physical Illness",24.71,8.97
1,"History: Alcohol Abuse","Reason: Substance Abuse",54.41,30.31
1,"History: Alcohol Abuse","Reason: Breakup",46.56,30.78
1,"History: Alcohol Abuse","Reason: Job",181.94,105.42
1,"History: Alcohol Abuse","Reason: Eviction",74.52,135.77
1,"History: Alcohol Abuse","History: Physical Illness",21.23,43.93
1,"History: Alcohol Abuse","Reason: Jail Prison",43,70.59
1,"History: Alcohol Abuse","Reason: No Family",42.52,39.99
1,"History: Alcohol Abuse","History: Physical Abuse",99.47,73.86
1,"History: Alcohol Abuse","Reason: Death in Family",29.35,15.06
1,"History: Alcohol Abuse","Reason: Foster Care",41.56,8.65
1,"History: Alcohol Abuse","History: PTSD",32.1,32.1
1,"History Drug Alcohol","Reason: Substance Abuse",2.09,8
1,"History Drug Alcohol","Reason: Breakup",12,0.59
1,"History Drug Alcohol","Reason: Job",43,43.77
1,"History Drug Alcohol","Reason: Eviction",27,42
1,"History Drug Alcohol","History: Physical Illness",6.4,7.14
1,"History Drug Alcohol","Reason: Jail Prison",1.21,4.05
1,"History Drug Alcohol","Reason: No Family",10.5,9.19
